기준일ID,시간대구분,자치구코드
20210101,12,11320
20210101,12,11350
20210101,12,11380
20210101,12,11410
20210101,12,11440
20210101,12,11470
20210101,12,11500
20210101,12,11530
20210101,12,11545
20210101,12,11560
20210101,12,11590
20210101,12,11620
20210101,12,11650
20210101,12,11680
20210101,12,11710
20210101,12,11740
20210101,13,11110
20210101,13,11140
20210101,13,11170
20210101,13,11200
20210101,13,11215
20210101,13,11230
20210101,13,11260
20210101,13,11290
20210101,13,11305
20210101,13,11320
20210101,13,11350
20210101,13,11380
20210101,13,11410
20210101,13,11440
20210101,13,11470
20210101,13,11500
20210101,13,11530
20210101,13,11545
20210101,13,11560
20210101,13,11590
20210101,13,11620
20210101,13,11650
20210101,13,11680
20210101,13,11710
20210101,13,11740
20210101,14,11110
20210101,14,11140
20210101,14,11170
20210101,14,11200
20210101,14,11215
20210101,14,11230
20210101,14,11260
20210101,14,11290
20210101,14,11305
20210101,14,11320
20210101,14,11350
20210101,14,11380
20210101,14,11410
20210101,14,11440
20210101,14,11470
20210101,14,11500
20210101,14,11530
20210101,14,11545
20210101,14,11560
20210101,14,11590
20210101,14,11620
20210101,14,11650
20210101,14,11680
20210101,14,11710
20210101,14,11740
20210101,15,11110
20210101,15,11140
20210101,15,11170
20210101,15,11200
20210101,15,11215
20210101,15,11230
20210101,15,11260
20210101,15,11290
20210101,15,11305
20210101,15,11320
20210101,15,11350
20210101,15,11380
20210101,15,11410
20210101,15,11440
20210101,15,11470
20210101,15,11500
20210101,15,11530
20210101,15,11545
20210101,15,11560
20210101,15,11590
20210101,15,11620
20210101,15,11650
20210101,15,11680
20210101,15,11710
20210101,15,11740
20210101,16,11110
20210101,16,11140
20210101,16,11170
20210101,16,11200
20210101,16,11215
20210101,16,11230
20210101,16,11260
20210101,16,11290
20210101,16,11305
20210101,16,11320
20210101,16,11350
20210101,16,11380
20210101,16,11410
20210101,16,11440
20210101,16,11470
20210101,16,11500
20210101,16,11530
20210101,16,11545
20210101,16,11560
20210101,16,11590
20210101,16,11620
20210101,16,11650
20210101,16,11680
20210101,16,11710
20210101,16,11740
20210101,17,11110
20210101,17,11140
20210101,17,11170
20210101,17,11200
20210101,17,11215
20210101,17,11230
20210101,17,11260
20210101,17,11290
20210101,17,11305
20210101,17,11320
20210101,17,11350
20210101,17,11380
20210101,17,11410
20210101,17,11440
20210101,17,11470
20210101,17,11500
20210101,17,11530
20210101,17,11545
20210101,17,11560
20210101,17,11590
20210101,17,11620
20210101,17,11650
20210101,17,11680
20210101,17,11710
20210101,17,11740
20210101,18,11110
20210101,18,11140
20210101,18,11170
20210101,18,11200
20210101,18,11215
20210101,18,11230
20210101,18,11260
20210101,18,11290
20210101,18,11305
20210101,18,11320
20210101,18,11350
20210101,18,11380
20210101,18,11410
20210101,18,11440
20210101,18,11470
20210101,18,11500
20210101,18,11530
20210101,18,11545
20210101,18,11560
20210101,18,11590
20210101,18,11620
20210101,18,11650
20210101,18,11680
20210101,18,11710
20210101,18,11740
20210101,19,11110
20210101,19,11140
20210101,19,11170
20210101,19,11200
20210101,19,11215
20210101,19,11230
20210101,19,11260
20210101,19,11290
20210101,19,11305
20210101,19,11320
20210101,19,11350
20210101,19,11380
20210101,19,11410
20210101,19,11440
20210101,19,11470
20210101,19,11500
20210101,19,11530
20210101,19,11545
20210101,19,11560
20210101,19,11590
20210101,19,11620
20210101,19,11650
20210101,19,11680
20210101,19,11710
20210101,19,11740
20210101,20,11110
20210101,20,11140
20210101,20,11170
20210101,20,11200
20210101,20,11215
20210101,20,11230
20210101,20,11260
20210101,20,11290
20210101,20,11305
20210101,20,11320
20210101,20,11350
20210101,20,11380
20210101,20,11410
20210101,20,11440
20210101,20,11470
20210101,20,11500
20210101,20,11530
20210101,20,11545
20210101,20,11560
20210101,20,11590
20210101,20,11620
20210101,20,11650
20210101,20,11680
20210101,20,11710
20210101,20,11740
20210101,21,11110
20210101,21,11140
20210101,21,11170
20210101,21,11200
20210101,21,11215
20210101,21,11230
20210101,21,11260
20210101,21,11290
20210101,21,11305
20210101,21,11320
20210101,21,11350
20210101,21,11380
20210101,21,11410
20210101,21,11440
20210101,21,11470
20210101,21,11500
20210101,21,11530
20210101,21,11545
20210101,21,11560
20210101,21,11590
20210101,21,11620
20210101,21,11650
20210101,21,11680
20210101,21,11710
20210101,21,11740
20210101,22,11110
20210101,22,11140
20210101,22,11170
20210101,22,11200
20210101,22,11215
20210101,22,11230
20210101,22,11260
20210101,22,11290
20210101,22,11305
20210101,22,11320
20210101,22,11350
20210101,22,11380
20210101,22,11410
20210101,22,11440
20210101,22,11470
20210101,22,11500
20210101,22,11530
20210101,22,11545
20210101,22,11560
20210101,22,11590
20210101,22,11620
20210101,22,11650
20210101,22,11680
20210101,22,11710
20210101,22,11740
20210101,23,11110
20210101,23,11140
20210101,23,11170
20210101,23,11200
20210101,23,11215
